Tenth,Twelfth,CGPA,Internships,Projects,Aptitude,Soft skills,Leadership,Extracurricular,Certifications,Backlogs,DSA,Lang,Probability
64.42,83.9,7.14,1,3,83.19,57.84,61,32.77,3,1,41.06,5,57.3
83.23,63.34,8.47,1,2,92.15,80.47,28.01,34.56,0,0,74.29,1,57.7
62.79,62.17,7.15,2,1,57.82,53.64,90.56,56.17,3,0,46.6,2,55.2
77.09,71.75,7.22,0,2,60.73,78.72,99.67,48.31,2,2,80.46,4,59.9
55.4,77.76,7.13,0,0,94.82,69.6,37.68,69.22,2,0,57.86,1,53.8
61.72,74.8,7.56,0,1,89.86,87.56,70.34,84.77,1,2,74.33,1,58.2
76.97,64.83,6.51,2,1,55.14,76.38,94.82,20.22,1,0,40.96,6,57
82.38,67.43,6.79,0,3,56.58,62.12,38.55,61.44,3,0,79.21,1,54.6
76.71,60.54,7.81,1,1,73.8,73.61,22.57,56.77,2,0,71.18,6,57.6
73.84,70.53,7.28,0,3,88.63,68.14,60.27,35.11,0,0,58.08,1,55.1
71.99,84.83,6.89,0,0,56.44,45.14,66.78,9.85,0,0,28.35,0,46.9
60.21,72.95,5.6,0,1,71.3,77.18,90.75,41.76,1,0,46.11,0,51.2
67.8,82.45,8.5,1,1,86.34,67.31,100,26.48,2,0,67.41,3,63.5
70.39,89.01,6.34,2,1,66.96,36.07,78.49,64.19,1,1,73.92,0,54.8
85.57,66.53,7.99,0,3,68.85,46.39,30.05,45.58,0,0,58.6,2,52.8
78.44,70.95,7.18,0,1,91.32,59.55,74.05,44.14,1,0,88.52,1,58.1
57.37,96.88,5.71,1,4,63.73,81.14,62.18,73.53,2,2,89.8,2,57.9
78.24,88.89,8.25,0,2,89.02,58.45,84.14,98.52,0,0,51.45,1,63
71.15,54.6,7.25,0,2,67.76,79.23,27.19,53.94,0,0,100,0,51.8
68.23,77.26,8.34,2,10,53.72,79.87,83.52,70.58,4,1,66.74,1,62.5
81.12,73.01,6.82,0,1,78.35,65.28,96.65,78.45,2,1,33.2,1,57.3
85.31,82.09,7.7,1,2,60.75,79.47,69.42,33.6,2,0,63.97,2,60.7
84.31,64.81,5.24,1,1,52.44,67.28,88.36,28.16,2,0,58.85,2,52.9
66.61,63.76,6.5,0,4,99.47,56.84,80.69,54.82,2,0,74.24,5,59.7
71.91,65.56,5.73,2,3,76.29,64.7,21.78,69.42,0,0,45.69,0,49.5
78.31,66.71,6.63,1,4,65.22,56.31,68.26,44.18,0,0,65.53,4,56.1
84.76,81.97,7.47,0,8,65.49,80.2,71.74,24.04,6,0,58.35,1,63.9
70.21,60.01,6.4,0,2,92.96,75.11,43.74,88.08,2,1,68.74,1,54.5
73.14,66.15,7.86,2,1,94.08,91.2,71.3,73.69,1,1,74.27,5,64.7
63.94,53.32,6.14,0,2,61.83,67.07,32.11,54.31,1,0,85.37,5,50.5
63.04,84.08,7.89,3,2,73.97,73.93,65.46,39.38,0,2,83.22,3,59.7
83.13,86.98,8.31,2,2,64.49,72.61,73.91,30.91,1,2,62.37,3,61
88.56,69.4,8.01,1,3,81.52,76.13,100,41.23,0,1,48.43,2,61.7
74.28,69.72,6.66,2,2,64.69,74.72,46.93,93.93,1,1,57.57,3,56.8
85.04,77.99,4.87,2,1,41.02,56.77,79.8,52.83,1,1,38.71,3,51.4
78.62,89.22,7.58,0,1,54.53,70.12,40.65,64.66,1,1,54.35,0,53.6
68.55,77.49,6.87,2,2,85.63,68.61,87.97,100,1,0,71.6,1,62.8
78.61,65.33,6.02,0,0,59.2,100,63.97,96.88,1,2,100,0,55.4
90.38,55.19,6.44,1,4,81.78,42.27,76.45,63.11,1,1,71.56,5,58.2
74.64,60.73,8.43,1,3,75.57,79.92,46.89,95.37,0,0,84.32,3,61.7
90.65,73.81,5.86,2,6,59.31,91.12,75.77,69.35,2,0,33.65,1,60.7
48.8,65.79,7.47,0,1,67.68,54.39,53.18,99.09,1,0,64.26,1,51.8
83.22,75.14,7.22,1,3,60.62,100,62.47,60.54,0,1,61.47,1,58.7
75.87,66.92,6.64,1,2,64.3,70.88,42.79,74.47,1,0,59.24,1,53.8
72.01,61.36,7.64,2,2,43.22,65.2,57.91,71.63,1,0,53.06,2,54.7
75.92,60.05,8.63,1,5,68.28,69.77,70.5,43.53,1,0,17.17,1,56.5
55.12,90.19,6.7,1,1,61.32,71.19,64.64,75.12,0,0,50.53,4,56
72.8,82.78,6.76,0,1,71.15,72.03,89.74,39.03,0,0,61.89,5,58.6
78.57,92.04,7.62,1,2,77.9,50.68,53.46,49.5,0,1,68.72,4,58.8
89.78,78.94,7.92,0,2,79.31,75.17,96.94,76.26,1,0,46.56,0,62.8
69.82,68.27,6.87,0,1,61.49,42.46,58.18,67.79,1,0,54.05,3,51.5
66.92,87.56,6.69,1,2,60.34,61.98,97.63,60.56,2,0,52.44,3,59.4
69.98,72.64,4.78,1,0,67.73,63.1,71.64,66.33,2,0,68.65,4,54
84.15,75.43,6.22,1,1,86.41,69.12,100,59.11,2,1,86.16,3,62.5
78.29,72.53,5.86,2,0,62.29,67.12,68.18,80.99,1,1,52.86,2,54.5
69.7,40.58,7.68,1,2,59.74,72.3,33.72,100,1,1,100,5,55.9
80.13,90.65,6.76,1,1,53.49,48.18,60.25,88.38,0,0,93.54,2,58.3
75.97,78.4,6.72,1,2,77.61,68.63,64.86,53.01,0,0,43.2,0,54.8
84.69,76.63,6.99,5,1,65.63,54.76,97.61,70.08,0,0,39.31,3,62.5
67.98,72.32,6.13,1,2,54.92,72.82,29.79,44.09,3,2,34.41,2,47.8
71.72,74.8,8.55,1,4,58.05,94.47,46.92,84.29,1,2,52.95,2,59.1
71.08,66.43,8.3,0,1,80.04,69.75,69.39,60.27,0,0,83.63,2,58.7
60.36,79.78,8.62,2,2,72.16,91.65,71.28,76.03,0,1,64,0,60.8
77.96,58.62,7.68,0,0,59.96,72,90.01,66.69,2,0,65.73,2,57.7
77.61,75.05,6.97,1,2,78.62,58.34,25.71,9.48,0,0,55.45,2,50.9
75.05,79.18,8.61,3,1,85.52,71.55,50.73,59.62,0,0,100,1,63.7
72.65,70.81,6.32,2,3,79.84,37.35,81.87,65.49,0,0,65.46,3,57
60.85,77.08,6.13,1,2,73.1,71.83,63.76,68.48,1,0,61.43,3,55.8
70.79,62.1,6.4,2,0,95.16,87.13,79.18,41.85,0,1,73.66,1,56.5
71.57,62.38,7.52,1,1,89.86,53.09,62.39,33.89,2,0,46.87,0,53.3
66.98,75.6,6.24,1,0,70.94,84.35,85.74,64.2,1,1,48.57,1,55
73.39,80.46,6.84,1,2,85.14,54.5,51.77,62.27,0,0,50.75,0,54.2
79.04,52.38,5.4,0,1,79.77,65.99,59.99,51.52,2,2,57.81,3,49.5
93.86,78.74,7.48,0,3,61.99,52.17,63.91,49.21,0,1,74.81,2,57.1
76.75,67.02,5.48,0,4,94.01,68.24,50.5,84.79,2,0,89.59,4,59.4
77.58,70.88,6.07,1,4,95.31,100,67.32,44.8,3,2,91.57,4,62.8
74.26,58.27,8.22,1,3,87.97,59.3,56.27,48.62,0,0,63.07,4,58.1
55.81,63.63,8.18,1,4,79.45,65.68,71.31,14.65,0,0,81.69,3,56.8
74.73,83.63,7.37,2,0,84.18,68.36,70.3,76.15,1,0,50.33,1,60.1
75.6,73.36,7.28,1,3,64.98,65.99,50.12,63.04,0,1,74.1,3,56.4
99.63,68.79,6.47,0,0,86.43,85.17,76,91.23,0,0,67.89,3,62.1
73.08,71.72,6.23,0,3,50.65,58.7,69.87,42.23,0,0,43.43,2,50.3
78.02,78.38,6.64,2,2,65.11,72.95,53.21,28.99,3,0,29.18,1,54.7
74.65,77.85,5.49,2,3,32.38,62.22,82.52,43.92,0,0,72.93,4,54.8
63.31,72.17,7.25,1,3,76,92.15,67.28,77.91,0,1,45.39,1,56.9
86.43,85.02,7.05,0,3,85.45,71.9,86.46,82.08,2,1,96.21,0,64.4
82.52,83.68,6.07,1,2,94.74,70.2,93.38,62.23,3,0,66.87,2,63.7
82.91,77.55,8.57,0,1,66.77,78.87,43.09,61.29,0,0,70.29,1,58.2
65.91,73.6,7.61,0,1,73.48,89.85,98.72,91.96,0,0,52.72,4,62.1
89.03,80.23,7.69,3,3,69.78,83.37,76.04,71.88,2,0,100,2,69
60.98,76.46,6.51,0,1,97.13,81.22,71.21,59.99,2,1,61.8,3,57.4
80.87,84.67,7,1,0,74.98,86.93,51.28,45.8,2,0,70.47,0,58.3
96.9,82.9,7.63,2,0,97.82,68.11,71.79,73.33,2,0,75.14,3,67.6
65.09,61.8,7.15,1,2,88.67,99,20.59,35.9,0,1,57.23,1,51.6
69.34,61.05,8.6,0,4,81.29,80.74,42.94,35.72,0,0,51.36,2,55.6
76,65.29,6.8,1,1,61.65,76.61,27.75,56.23,1,0,58.91,2,52.1
69.97,83.74,6.5,1,2,53.75,66.54,62.22,90.57,1,2,77.22,1,55.1
59.49,55.66,7.63,2,2,71.34,45.69,92.17,35.17,2,1,86.59,2,55.7
75.69,77.34,5.74,1,3,71.46,69.17,70.21,82.35,0,2,40.62,4,55
64.38,76.99,7.92,0,2,52.54,55.14,76.86,73.2,1,1,72.2,0,54.6
79.74,85.79,5.7,1,4,86.24,61.37,60.36,37.36,0,0,41.99,1,54.7
65.81,74.98,7.64,1,3,72.76,70,65.23,65.97,1,2,92.96,4,59.7
90.5,58.22,6.35,0,2,78.81,88.36,29.14,45.57,1,1,80.58,2,53.9
67.17,62.45,7.48,0,2,95.48,66.25,86.07,45.63,2,0,80.82,3,60
71.78,60,7.91,3,2,58.36,53.41,75.21,83.65,1,0,79.48,6,62.2
83.14,67.08,7.15,0,0,38.76,46.48,80.66,57.49,0,0,82.64,0,52
62.69,70.99,5.8,2,0,61.21,51.92,71.89,56.52,1,0,97.7,1,53.2
77.27,60.18,6.1,0,6,95.95,100,55.83,59.73,0,1,64.26,3,58.3
88.07,89.18,6.27,0,3,70.13,59.55,75.26,85.96,0,1,54.01,1,57.6
58.93,58.42,5.1,1,3,67.16,41.28,59.05,54.98,1,0,64.11,2,47.6
76.85,87.81,8.13,1,1,62.25,72.5,63.37,75.67,1,1,75.69,2,60.9
77.6,86.04,7.11,1,3,69.9,58.99,87.68,75.82,1,0,38.31,0,59
82.82,82.88,5.86,0,1,61.44,67.75,85.17,26.86,1,1,54.44,3,54.1
62.63,65.37,8.46,2,1,62.62,81.26,55.45,82.26,0,0,45.11,2,57.1
61.8,76.77,6.3,2,2,85.69,86.52,72.54,84.67,1,0,81.75,3,62.1
80.22,58.95,7.25,3,4,100,66.58,86.54,73.24,1,0,79.1,2,65.2
77.97,83.02,6.17,1,3,57.36,73.13,35.54,50.6,0,0,75.99,3,55.1
77.5,72.19,4.98,2,0,61.96,87.79,67.3,43.34,2,1,61.99,0,52.4
78.46,68.5,5.64,0,2,61.63,56.38,67.32,58.36,0,5,65.52,1,46.1
68.2,59.54,6.55,2,1,93.87,49.08,31.28,24.78,2,1,30.48,5,49.9
77.32,45.75,7.9,1,3,81.38,75.41,45.79,68.49,2,0,52.28,1,56.1
77.93,61.58,7.35,0,2,66.14,52.61,40.51,34.95,1,1,82.26,2,51.2
67.86,85.24,7.14,1,0,62.46,61.5,62.42,67.16,3,0,72.7,2,57.9
93.66,68.57,4.99,1,1,93.44,68.09,69.28,52.01,0,1,61.35,4,56.1
79.74,71.14,8.27,2,1,70.62,71.09,36.64,67.96,0,1,70.77,2,57.6
63.09,80.21,7.22,2,1,69.41,63.69,50.68,50.46,0,1,85.23,1,54.6
81.57,92.86,6.88,0,1,37.59,82.93,61.17,58.37,1,1,61.8,1,55.2
65.25,87.58,8.13,2,1,81.94,66.85,100,45.74,1,1,42.12,3,61.6
82.87,62.3,8.25,1,3,69.89,43.5,53.71,65.19,0,0,63.17,1,55.8
86.59,51.63,8.15,0,2,71.6,71.44,63.86,78.44,0,4,100,0,54.7
66.79,98.96,6.75,1,3,71.55,70.26,71.34,84.15,1,0,55.32,1,60.3
84.63,97.96,6,1,4,84.1,63.63,99.74,52.69,1,0,56.85,1,62.8
79.13,75.07,7.99,1,3,36.51,64.39,68.08,6.81,2,1,75.06,5,57
83.22,59.02,5.63,1,1,52.05,60.57,100,49.94,2,0,80.94,1,54.9
93.97,83.6,8.95,2,1,99.38,55.18,34.77,73.9,3,1,67.21,0,63.7
72.55,71.81,7.03,1,5,51.6,90.58,79.46,80.39,4,1,24.12,5,61.2
67.46,71.76,5.94,1,0,58.55,77.38,48.86,98.06,0,0,33.32,4,52.5
66.1,82.84,5.77,1,1,88.76,78.18,60.03,46.71,1,3,87.62,0,53.1
66.84,76.68,5.72,1,4,70.75,64.71,56.11,91.09,1,0,56.46,0,54.4
74.23,59.96,7.14,1,2,70.89,54.63,43.58,53.76,0,0,71.59,1,52.1
78.41,69.43,6.99,0,4,93.86,22.54,87.01,69.02,0,3,62.14,0,52.8
77.77,80.27,5.76,0,2,61.38,85.15,45.14,68.49,1,3,27.3,4,50.8
83.27,78.61,6.64,0,3,61.95,98.96,51.95,85.21,1,0,56.72,0,58.2
75.13,75.88,5.63,0,2,81.41,47.7,60.29,27.78,0,1,68.11,0,48.9
89.54,83.27,7.59,0,2,72.4,38.49,51.51,32.87,0,0,56.5,2,54.6
72.35,69.02,6.95,2,1,85.42,77.82,70.83,62.29,1,2,93.97,1,58.7
100,74.97,6.62,0,2,60.33,94.88,27.21,38.51,2,1,68.38,4,57.2
81.26,35.87,5.71,0,2,72.99,56.71,46.9,61.77,0,0,95.13,2,49.5
66.43,68.05,6.7,2,3,68.9,97.35,49.79,78.05,0,1,53.34,2,56.3
64.29,81.4,6.59,1,1,64.13,75.39,47.67,88.65,0,0,76.41,3,56.6
79.82,68.71,7.32,0,1,50.77,30.59,92.49,41.69,0,0,47.54,4,52.7
72.77,67.87,7.17,1,2,63.69,85.3,56.26,38.32,0,0,79.94,2,56.1
82.14,61.54,7.79,3,4,61.92,64.29,55.24,69.86,0,2,53.45,3,57.3
79.73,84.04,6.52,0,2,88.79,66.05,68.52,76.51,1,0,49.62,4,60.1
74.27,79.03,5.14,1,2,78.51,63.94,85.36,46.73,1,1,100,1,56.4
66.53,82.08,7.99,1,2,76.67,69.23,52.04,43.56,0,1,57.64,1,55.3
59.85,54.01,6.06,2,4,67.27,55.18,70.06,75.72,0,1,54.31,1,50.6
70.53,71.24,5.89,1,7,56.62,50.48,39.39,81.1,2,1,57.08,1,52.2
83.56,69.92,6.96,1,0,73.34,77.06,71.4,60.33,0,0,43.38,0,55.3
77.14,69.91,7.3,0,1,91.27,49.68,64.18,71.29,0,0,54.39,2,55.7
62.54,66.22,6.47,1,2,57.12,51.94,43.94,43.87,2,0,37.25,1,47.6
76.73,69.19,6.46,0,1,76.81,38.28,30.56,49.11,0,0,66.09,3,49.5
78.85,82.35,6.61,0,1,63.2,82.06,88.86,56.18,0,0,43.13,4,58.3
66.16,51.96,8.42,0,0,69.92,100,83.27,48,2,0,47.43,0,56.1
76.54,92.55,7,2,6,67.67,47.93,75.56,27.26,1,1,84.92,2,60.5
75.58,78.32,6.03,0,1,76.75,57.04,90.87,48.68,2,0,52.69,3,56.4
63.57,72.53,6.04,1,1,67.66,67.81,75.74,67.43,1,0,78.13,1,54.9
78.58,82.98,6.75,1,1,62.45,80.33,46.24,51.57,2,0,66.89,3,57.8
80.61,57.03,7.24,0,2,46.35,66.91,68.98,77.02,2,2,80.06,0,53
85.83,65.69,7.48,2,2,73.3,92.68,95.48,52.47,1,2,70.6,3,62.8
85.54,71.67,7.12,1,3,79.16,56.77,54.21,39.66,2,1,33.72,3,55.4
61.22,88.02,6.16,1,1,70.94,68.06,59,62.25,1,0,39.96,2,53.7
65.62,72.49,6.58,0,1,68.91,68.56,72.67,75.07,2,0,67.73,4,57.2
80.15,77.95,7.73,0,1,92.3,41.69,95.27,42.14,0,0,100,2,61
80.14,66.51,5.85,1,0,94.31,66.11,78.46,21.92,0,1,41.35,3,52.6
80.15,78.36,6.53,0,0,86.07,72.66,47.91,66.57,0,0,100,1,57.2
100,91.45,7.6,0,1,75.02,45.38,67.14,75.19,0,0,86.57,3,62.9
80.71,83.95,7.88,1,1,71.46,56.83,67.06,25.13,0,0,73.33,2,57.9
86.36,72.1,6.81,0,3,54.2,95.28,78.02,80.13,2,3,68.52,2,58.5
84.54,80.43,6.59,1,2,41.41,56.76,37.46,49.18,2,1,57.5,0,50.7
81.51,79.35,5.68,0,3,90.56,69.88,38.06,54.76,1,1,63.38,0,53.1
71.85,78.57,7.53,2,2,71.71,63.44,62.85,52.31,1,1,100,2,59.9
82.59,85.23,8.32,3,4,100,58.7,64.6,52.7,0,0,99.91,1,67.2
67.27,85.15,9.57,0,0,61.24,50.03,48.03,54.77,3,0,67.49,2,58.1
72.63,71.6,7.39,0,3,76.4,73.45,66.46,63.78,0,3,33.5,1,52.2
70.15,80.06,6.95,2,1,85.33,54.01,65.47,53.14,1,0,70.24,1,57.5
75.82,68.79,6.08,0,4,60.21,61.83,100,90.4,0,0,81.25,2,58.7
98.15,62.85,5.12,0,0,65.96,86.46,57.07,62.14,0,0,81.51,0,53.3
56.33,70.04,7.18,1,2,67.08,54.71,41.7,69.45,2,0,90.21,2,54.5
81.86,72.16,9.35,0,2,63.9,85.19,94.13,100,2,0,45.08,4,67.1
58.87,54.72,8.27,2,2,75.98,61.15,53.98,76.31,2,0,54.42,3,56.9
70.28,82.46,8.12,0,2,70.82,64.87,73.37,100,0,1,95.81,0,60.4
85.89,42.56,7.25,0,2,39.45,74.93,87.59,55.15,2,0,46.25,3,54.2
75.64,100,7.36,2,1,71.65,46.84,98.8,76.14,1,0,36.81,2,62
64.22,89.52,4.58,1,3,75.61,78.83,68.06,69.67,0,0,19.61,2,52.9
67.85,70.13,7.76,0,3,69.39,53.05,41.68,64.58,0,0,82.86,2,54.6
81.8,73.1,6.42,2,2,94.7,70.7,73.21,70.27,0,1,91.07,2,61.4
67.7,76.33,6.3,0,1,75.22,50.42,62.62,61.76,3,2,71.87,2,52.7
77.16,66.52,6.68,2,1,70.35,73.5,43.81,76.62,0,0,72.17,3,56.7
75.46,75.12,6.64,2,2,83.64,47.08,84.1,45.55,1,2,61.05,4,57.2
68.48,71.42,6.28,1,4,100,59.55,82.17,36.35,0,2,41.69,3,54.5
96.44,71.96,7.01,0,1,67.85,59.75,92.36,67.3,2,3,90.95,2,59.2
81.34,75,6.44,3,4,85.81,75.66,69.32,78.47,1,0,27.81,1,60.6
54.75,58.55,7.1,1,0,97.58,89.63,31.89,71.5,5,4,100,2,54.8
76.86,73.44,5.51,0,2,66.54,61.05,100,27.14,1,0,72.37,2,54.7
68.38,74.8,6.79,0,3,52.41,62.74,36.87,78.75,0,1,69.32,2,51.4
83.52,74.42,5.9,2,0,76.57,57.16,47.17,60.31,2,1,52.1,3,54.2
67.07,70.63,6.36,0,2,90.21,91.42,54.52,84.23,2,1,57.28,5,58.8
73.85,85.52,7.14,1,1,65.72,63.79,76.98,31.93,2,1,34.14,2,55.1
80.05,69.11,5.4,0,3,86.43,74.98,58.99,83.33,1,0,37.02,0,53.8
83.66,75.5,6.18,1,5,57.11,73.64,77.53,58.84,2,0,66.11,1,59.1
63,87.27,7.57,2,4,66.29,55.83,42.45,100,0,1,65.51,2,58
71.65,72.13,5.59,1,1,68.61,76.17,60.28,67.08,0,0,95.9,2,55.5
70.25,75.36,8.78,1,2,67.91,86.58,83.1,73.54,1,0,73.65,2,64.2
68.47,71.94,8.2,0,0,57.11,61.3,87.39,49.21,1,2,60.41,0,52.8
92.65,86.61,6.51,0,0,64.97,82.38,80.98,53.79,2,2,50.68,3,58.3
79.05,70.17,6.21,1,1,40.49,72.25,74.24,56.65,0,1,49.57,2,51.5
62.39,87.12,7.2,0,3,80.39,50.17,51.87,62.35,0,0,62.78,1,54.5
84.18,71.86,5.55,0,4,70.54,91.22,48.91,55.17,1,0,69.44,0,55.1
96.22,63.55,5,1,2,87.25,79.32,80.38,72.8,0,1,56.84,1,56.6
85.32,80.47,6.54,0,2,68.66,48.84,66.71,82.2,2,0,94.63,1,59
59.81,69.65,6.87,2,1,43.02,53.93,47.27,71.85,1,0,63.75,4,52.4
70.16,79.83,7.09,0,1,74.79,87.34,82.76,64.76,1,0,98.51,1,61.2
87.67,42.98,6.39,2,1,60.07,53.23,53.31,53.48,1,1,60.77,0,49
67.92,73.06,8.27,0,3,86.04,47.89,93.02,1.01,2,0,100,3,60.6
79.44,67.94,5.5,0,4,66.82,44.45,55.28,74.44,3,0,48.61,1,52
82.75,61.3,5.86,3,3,100,57.97,51.91,45.59,0,0,61.11,1,55.7
65.73,66.91,7.49,1,1,56.59,78.58,53.22,49.58,0,0,80.85,3,55.1
74.4,66.69,5.84,1,0,73.69,71.79,58.86,49.01,0,1,55.38,3,51.4
42.59,72.47,5.8,0,2,78.98,49.01,77.27,65.69,0,0,62.33,1,49.3
64.76,57.96,7.12,0,3,65.05,63.7,62.29,81.46,2,2,43.03,1,50.8
72.47,76.48,5.95,2,1,50.01,77.38,97.42,46.09,0,1,30.39,3,54
62.52,88.03,6.87,0,2,67,55.11,63.3,28.79,2,1,55.78,0,51.3
91.32,76.09,6.3,0,5,42.72,65.34,44.34,66.74,0,1,92.22,3,55.8
60.7,81.9,6.14,0,2,59.52,93.9,69.36,36.22,3,2,73.02,0,53.1
70.6,85.04,4.9,0,1,67.33,69,100,50.67,0,1,29.9,4,52.6
76.31,86.6,7.14,1,3,85.01,92.17,64.73,42.23,1,1,59.63,4,62
89.41,93.57,5.75,2,4,74.19,56.24,30.35,61.33,2,1,77.05,1,57.7
60.64,67.51,6.83,1,0,63.94,61.63,47.74,69.16,2,0,74.01,1,52.3
86.63,65.1,6.49,1,4,63.02,86.87,71.57,71.96,0,1,48.98,3,57.9
75.1,81.62,6.79,1,2,61.74,68.91,27.23,55.71,2,2,49.94,2,51.9
65.18,80.79,6.85,2,2,83.79,49.59,97.39,88,1,0,54,1,60.2
79.62,81.53,7.19,1,1,47.73,98.49,56.84,43.82,1,1,60.97,4,57.9
76.99,93.78,6.27,1,1,57.3,72.18,6.99,35.63,0,0,29.63,3,49.6
69,73.13,8.24,1,1,47.66,96.16,100,38.85,1,0,64.22,4,61.7
75.7,77.69,5.15,1,2,78.78,57.87,94.43,100,2,1,90.51,2,60
71.15,62.22,6.77,0,1,92.71,65.39,53.18,35.64,1,1,46.94,2,51
76.14,96.49,7.84,1,5,78.61,78.11,47.09,84.32,0,0,54.61,0,62.1
81.62,69.3,7.48,0,0,79.69,89.07,63.11,54.86,1,0,47.34,2,57.5
90.86,69.61,6.03,0,1,62.12,83.58,97.88,75.72,4,0,55.12,2,60.9
62.62,69.19,6.19,1,4,77.32,31.85,65.27,15.47,0,0,70.26,2,50.1
96.33,65.91,5.99,1,2,58.74,57.41,36.62,51.91,1,0,24.87,1,49.8
55.48,64.98,7.6,0,3,61.37,70.24,90.9,73.14,1,1,51.53,0,53.8
73.48,67.24,6.26,1,2,69.44,79.45,75.01,70.95,1,0,43.09,1,55.4
80.88,57.98,7.26,0,2,70.63,62.65,37.18,89.92,0,0,46.41,3,53.4
77.81,64.36,7.26,1,3,96.88,62.08,51.14,29.37,1,0,46.71,1,54.9
68.77,94.44,9.37,0,1,83,71.34,61.58,71.83,2,1,71.83,3,64.2
72.92,81.09,7.31,1,2,71.74,55,61.87,65.25,1,1,51.4,1,55.3
70.07,83.18,6.19,1,1,95.64,58.22,83.49,57.2,1,1,85.74,1,58.2
69.11,85.95,5.54,1,3,100,70.41,87,61.1,0,0,86.56,2,61.1
83.5,93.18,6.72,2,1,70.3,67.41,72.53,48.73,1,0,55.91,1,59.6
78.57,53.51,6.88,4,1,75.74,50.56,86.71,41.27,0,1,100,5,59.8
68.07,59.47,4.79,1,2,51.42,71.93,74.37,71.19,1,1,39.38,4,49.7
84,64.16,6.29,1,2,72.48,74.24,44.77,78.33,0,0,10.98,2,52.2
78.07,67.83,7.3,1,1,59.83,88.66,65.93,61.49,1,0,66.4,1,57.6
83.13,69.69,6.47,2,3,41.71,67.36,54.64,64.11,1,1,54.75,3,54.5
81.3,68.08,7.97,1,4,84.84,85.03,88.12,63.34,2,0,68.54,2,65.6
66.71,75.41,5.44,1,4,71.6,37.59,51.24,96.27,2,0,80.91,3,55.4
69.4,73.39,7.68,1,4,56.96,67.15,71.87,33.96,1,0,87.88,1,57.8
82.47,65.05,7.91,2,1,42.59,60.51,52.3,65.95,1,0,46.73,0,53.6
81.1,49.07,7.96,2,2,60.87,60.59,32.58,54.87,2,0,46.78,1,52.7
74.79,62.08,5.43,1,1,59.89,74.41,66.75,49.99,0,0,80.71,3,52.9
